kore1280,a aː b b̥ ç d d̠ʒ d̥ d̥ʑ̥ e eː e̞ h i ia ie io iu iɛ iʌ iː j k kʰ kˀ k̚ k͉ k͉̚ l lʎ lʲ lː m mb n nd nʲ n̚ n̪ o oː o̞̜ p pʰ pˀ p̚ p͉ p͉̚ s sʰ sˀ s̪ s̪ˀ s͉ t ts tɕ tɕʰ tʰ tˀ t̚ t̠ʃ t̠ʃʰ t̠ʃˀ t̪ t̪ʰ t̪ˀ t͉ t͉ɕ͉ t͉̚ u ua ue ui uɛ uʌ uː w x y z æ æː ø ŋ ɐ ɑ̟ː ɕ ɕʰ ɘː əː ɛ ɛː ɛ̝ ɡ ɡ̥ ɤ ɤː ɤ̞ ɦ ɨi ɪ ɭ ɯ ɯi ɯː ɯ̥ ɯ̽ ɲ ɾ ʃ ʊ̜ ʌ ʎ ʔ
kett1243,a aː ä a̟ a̟ː b d dʲ d̪ d̪ʲ e h i iː j k k̟ lʲ lˠ l̥ʲ l̥ˠ l̪ʲ l̪ˠ m m̥ n nʲ n̥ n̥ʲ n̪ n̺ o p pʲ q qχ r s sʲ s̪ s̪ʲ s̺ t tʲ t̠ʃʲ t̪ t̪ʲ u uː æ æː ø ŋ ŋ̥ ɔ ɔː ə ɛ ɛː ɡ ɡ̟ ɢ ɣ ɨ ɨː ɪ ɮ̺ ɯ ɲ ɵ̞ ɵ̞ː ɾ ʀ ʁ ʃʲ ʊ ʌ ʔ ʝ β χ
lakk1252,a aː ä b d d̪ e̞ˤ ḛ h i iː j k kʰ kʷ kʷʰ kʷʼ kʷː kʼ kː k͈ k͈ʷ l l̪ m n n̪ p pʰ pʼ pː p͈ q qʰ qʷ qʷʰ qʷʼ qʷː qʼ qː q͈ q͈ʷ r r̪ s sː s̪ s̪ː s͈ tsʰ tsʷʰ tsʷʼ tsʷː tsʼ tsː tʰ tʼ tː t̠ʃ t̠ʃʰ t̠ʃʷ t̠ʃʷʰ t̠ʃʷʼ t̠ʃʷː t̠ʃʼ t̠ʃː t̠͈ʃ t̠͈ʃʷ t̪ t̪s̪ t̪s̪ʰ t̪s̪ʷʰ t̪s̪ʷʼ t̪s̪ʷː t̪s̪ʼ t̪s̪ː t̪ʰ t̪ʼ t̪ː t͈ t͈s t͈sʷ u uː w x xʷ xʷː xː x͈ x͈ʷ z z̪ æˤ æ̰ ø̞ˤ ħ ɑ̝ ɑ̝ː ɞ̰ ɡ ɢ ɢʷ ɣ ɣʷ ʁ ʃ ʃʷ ʃʷː ʃː ʃ͈ ʃ͈ʷ ʒ ʒʷ ʔ ʜ χ χʷ χʷː χː χ͈ χ͈ʷ
kaba1278,ä äː a̟ː b ç ç̟ d dz dʑ d̠ʒ d̠ʒʲ d̪ d̪z̪ d̻ d̻z̻ eː e̞ː f fʼ h i iː j kxʷ kʲʰ kʲʼ kʷ kʷʰ kʷʼ kʼ k̟x̟ʲ k̟ʲʰ k̟ʲʼ l m n n̪ n̻ oː o̞ o̞ː p pʰ pʼ q qʰ qʷ qʷʰ qʷʼ qʼ qχ qχʷ qχʷʼ qχʼ r r̥ s s̪ s̻ t ts tsʷʼ tsʼ tɕ tɕʼ tɬʲʼ tʰ tʷʼ tʼ t̠ʃ t̠ʃʲ t̠ʃʲʼ t̠ʃʼ t̪s̪ t̪s̪ʼ t̪ʰ t̪ʼ t̻s̻ t̻s̻ʼ t̻ʰ t̻ʼ u uː v w x xʲ xʷ x̟ʲ z zʷ z̪ z̻ ħ ɐ ɑ ɑː ɔ ɕ ɕʼ ə ɛ ɜ ɞ ɡʲ ɡʷ ɡ̟ʲ ɣ ɣʲ ɣ̟ʲ ɦ ɨ ɬ ɬʲ ɬʲʼ ɬʼ ɬ̪ʲ ɬ̪ʲʼ ɮ ɮʲ ɮ̪ʲ ɯ ɾ ʁ ʁʷ ʃ ʃʼ ʃ͇ ʉ ʑ ʒ ʒ͇ ʔ ʔʷ ʕ ʝ ʝ̟ χ χʷ
nucl1302,a̟ b b̰ c cʰ cʼ c̬ʰ d dz dz̰ d̠ʒ d̠ʒ̰ d̪ d̰ e e̞ e̠̞ f h i j k kʰ kʼ k̬ʰ l lˠ l̥ˠ l̩ l̪ˠ m m̥ m̩ n n̥ n̩ n̪ o̞ p pʰ pʼ p̬ʰ qʼ qʼχ q̰ qχʼ r r̥ r̩ r̪ s s͉ t ts tsʰ tsʼ tʰ tʼ t̠ʃ t̠ʃʰ t̠ʃʼ t̠̬ʃʰ t̪ t̪ʰ t̪ʼ t̬sʰ t̬ʰ u v v̥ v̩ w x z ŋ ɑ ɔ ə̆ ɛ ɟ ɟ̰ ɡ ɡ̰ ɣ ɪ ɪ̠ ɫ ɯ̆ ɲ̟ ɴ ɸ ɾ ɾ̩ ʁ ʁ̰ ʃ ʃ͉ ʊ ʊ̟ ʋ ʍ ʒ ʔ β χ χʼ χ͉
buru1296,R R̪ a aː ãː ã̈ː äː b d dʑ d̠ʒ d̪ e̞ e̞ː f h i iː ĩ ĩː j k kʰ l l̪ m n n̪ o oː õ õː o̞ o̞ː p pf pʰ q qʰ r s s̪ t ts tsʰ tɕ tɕʰ tʰ t̠ʃ t̠ʃʰ t̪ t̪s̪ t̪s̪ʰ t̪ʰ u uː ũ ũː w x y z z̪ æ ŋ ɔ ɕ ɖ ɖʐ ə ɛ ɛː ɛ̃ ɛ̃ː ɡ ɢ ɪ ɬ ɳ ʁ ʂ ʃ ʈ ʈʂ ʈʂʰ ʈʰ ʊ ʌ ʌ̃ ʐ ʐʲ ʐ͇ ʒ ˥˦ ˧ ˩˨ χ
kuru1302,a aː ã ãː b b̤ c cç cçʰ d d̠ʒ d̠ʒː d̠ʒ̤ d̤ d̪ d̪ː d̪̤ e ẽ e̞ e̞ː ẽ̞ ẽ̞ː e̯ h i iː ĩ ĩː j jː j̃ j̃ː k kʰ kː l lː l̪ m n n̪ o oː õː o̞ o̞ː õ̞ õ̞ː o̯ p pʰ pː r rː r̠ r̠̃ r̪ s s̪ s̪ː t tʰ t̠ʃ t̠ʃʰ t̠ʃː t̪ t̪ʰ t̪ː u uː ũ ũː u̞ w wː w̃ w̃ː x ŋ ɐ ɑ ɑ̃ː ɔ̃ ɔ̃ː ɖ ɖː ɖ̤ ə əː ə̃ ɟ ɟʝ ɟ̤ʝ ɡ ɡʱ ɡ̤ ɪ ɪ̃ ɪ̈ ɲ ɳ ɽ ʈ ʈʰ ʈː ʊ ʊ̃ ʌ ʌ̃ ʔ χ
telu1262,a aː a̟ː b bʰ bː b̤ c cç cçʰ cʰ ç d dz dzː dː d̠ʒ d̠ʒː d̤ d̪ d̪ʰ d̪̤ e eː f h i iː j k kʰ kː k͉ l lː l̪ m mː n nː n̪ o oː o̞ p pʰ pː rː r̪ s s̪ t ts tsː tɕ tː t̠ʃ t̠ʃː t̪ t̪ʰ u uː v w w̃ æ æː ð ŋ ɐ ɑ ɒː ɔː ɕ ɖ ɖʰ ɖː ɖ̤ ə ɛ ɛː ɜ ɟ ɟʝ ɟʰ ɟ̤ʝ ɡ ɡʰ ɡʱ ɡː ɡ̤ ɡ͉ ɦ ɪ ɪː ɭ ɭː ɲ ɳ ɽ ɾ ʂ ʃ ʈ ʈʰ ʈː ʊ ʊː β̞ β̞ː
kota1263,a aː b bʲ cç d dʲ d̠ʒ d̠ʒʲ d̪ d̪ð d̪ʲ e ee̞ ee̞ː eː e̞ e̞ː i iː j k kʰ kʲʰ l lʲ m mʲ n nʲ n̚ n̚ʲ n̪ o oo̞ oo̞ː oː o̞ o̞ː p pʰ pʲʰ r rʲ s sʲ t tʰ tʲʰ t̠ʃ t̠ʃʰ t̠ʃʲʰ t̪ t̪ʰ t̪ʲʰ u uː v vʲ w z zʲ ð ŋ ŋʲ ɔ ɖ ɖʲ ə ɟʝ ɡ ɡɣ ɡʲ ɣ ɪ ɭ ɭʲ ɲ ɳ ɳʲ ɽ ɽʲ ɾ ʂ ʈ ʈʰ ʈʲʰ ʊ ʌ
mund1320,a aː ã a̟ b b̤ c cç cçʰ d d̠ʒ d̠ʒ̤ d̤ d̪ d̪̤ e eː e̞ ẽ̞ h i iː j j̃ k kʰ l l̪ m n nˀ n̪ o oː o̞ õ̞ p pʰ p̚ˀ r s t tʰ t̚ˀ t̠ʃ t̠ʃʰ t̪ t̪ʰ u uː ũː u̞ w æ̞̃ ŋ ŋː ɑ̃ ɔ ɖ ɖ̤ ə ɛ ɟ ɟʝ ɟ̤ʝ ɡ ɡʱ ɡ̤ ɪ ɪ̃ ɭ ɲ ɳ ɽ ɽ̃ ɾ ʈ ʈʰ ʈ̚ˀ ʊ ʊ̃ ʌ ʔ ˀb ˀbʷ ˀd ˀd̠ʒ ˀɖ ˀɡ
